Breakfast_ytd,Frequency
"Healthy cereal e.g. porridge, weetabix, readybrek, muesli, branflakes, cornflakes",287
Toast,270
"Sugary cereal e.g. cocopops, frosties, sugar puffs, chocolate cereals",209
Fruit,151
Yoghurt,65
Cooked breakfast,59
Nothing,28
Snacks,19
Pancakes,18
Waffles,6
Waffle,5
Pancakes ,3
Waffles ,3
Pop tarts ,3
Bagel,3
Pain au chocolate,2
Croissants ,2
Shreddies,2
Egg waffles,2
Pancake,2
Healthy Shake ,2
Croissant,2
Egg and soliders ,2
pancakes,2
Biscuits ,2
Chocolate finger ,1
Pancakes and fruit ,1
Pancake ,1
Crumpets with chocolate spread,1
croissants ,1
Sausage sandwich ,1
Jam sandwich,1
Bread roll,1
marshmallow matey's,1
marshmallow mates,1
Crumpet,1
egg and crumpet,1
Pancakes with chocolate spread,1
brioche,1
Mackrel on toast,1
A Toastie,1
2 x pancakes and Nutella with apple juice,1
Egg,1
beans on toast,1
nutella,1
Beans on toast ,1
Pancakes and apple,1
porige,1
Pancakes with fruit on top ,1
Pop tarts and lucky charms,1
Biscuits,1
And some biscuits,1
Sausage roll,1
Rice and veg,1
GRANOLA,1
Cheese omlet,1
Chocolate crepe and a biscuit,1
Homemade Pancakes with fruit ,1
Sausage & egg sandwich,1
homemade pancakes,1
Tea and biscuits,1
homemade pancakes - it was sunday,1
Freshly baked bread,1
Crumpets with marmite ,1
Cheese and ham toastie,1
Brioche roll,1
Cheesey beans,1
chocolate spread on bread,1
Houmous and ryvita and a fruit smoothie,1
Sardines and toast,1
belgian pancakes (it was my mums birthday),1
Eggs,1
"Apple, pear, grapes, yogurt, brioche",1
Brioche,1
Pano chocolate ,1
CRUMPETS,1
bacon bap,1
smoothy,1
Croissants with cheese,1
Pancakes with nutella,1
Bacon muffins,1
Chocolate pancakes ,1
Portage ,1
Pain au choclat,1
croissant,1
Chesse and ham toasted sandwich ,1
Hot Cross Bun,1
Pop tarts,1
Pancakes & strawberries,1
crumpets,1
Waffles mum made them,1
boiled sausages,1
"cheese,ham,fridge raiders, little snacks bar",1
waffles with chocolate spread,1
Brioch,1
Tostie sandwich,1
breadsticks,1
pankaces and  strawberreis,1
Pop Tarts ,1
Egg on toast ,1
crackerbread,1
biscuits,1
egg on toast,1
Brioch ,1
Boiled eggs and toast,1
waffles ,1
Pan au chocolate ,1
Danish,1
cereal,1
Pain au chocolat,1
