,LSOA_Code
W01001430,26
W01001613,19
W01001586,14
W01000354,14
W01001339,13
W01000736,12
W01000845,11
W01001542,10
W01001431,10
not found,10
W01001362,9
W01001326,9
W01001325,9
W01001406,9
W01001588,9
W01001680,9
W01001639,9
W01000355,9
W01001057,9
W01000737,9
W01000409,8
W01000389,8
W01001675,8
W01001611,8
W01001032,7
W01000485,7
W01000209,7
W01001674,7
W01000025,7
W01001578,7
W01000880,6
W01001692,6
W01001374,6
W01001612,6
W01001615,6
W01001585,6
W01000607,6
W01001058,6
W01000974,6
W01001677,6
W01001617,6
W01001492,5
W01001679,5
W01001519,5
W01001497,5
W01001648,5
W01001053,5
W01001581,5
W01001001,5
W01000458,5
W01000858,5
W01000440,5
W01000345,5
W01000503,4
W01000860,4
W01000114,4
W01001031,4
W01001543,4
W01000779,4
W01001908,4
W01000643,4
W01000827,4
W01001337,4
W01000122,4
W01001457,4
W01000642,4
W01001676,4
W01000987,4
W01000854,4
W01001397,4
W01001526,4
W01000996,4
W01001645,4
W01001647,4
W01001650,4
W01001503,4
W01000781,4
W01001590,4
W01001644,3
W01000846,3
W01001000,3
W01001047,3
W01001002,3
W01001643,3
W01000418,3
W01000601,3
W01000488,3
W01000672,3
W01000751,3
W01000853,3
W01000394,3
W01001498,3
W01000772,3
W01000776,3
W01001004,3
W01000824,3
W01001040,3
W01001641,3
W01000994,3
W01001618,3
W01000451,3
W01000645,3
W01001021,3
W01000777,3
W01000153,3
W01001045,3
W01001665,3
W01000913,2
W01000847,2
W01000720,2
W01001649,2
W01000596,2
W01000756,2
W01000453,2
W01000865,2
W01000693,2
W01001587,2
W01001338,2
W01001622,2
W01001687,2
W01001584,2
W01001620,2
W01001583,2
W01000419,2
W01001365,2
W01001907,2
W01001035,2
W01001549,2
W01001529,2
W01001023,2
W01001480,2
W01000138,2
W01001054,2
W01001382,2
W01000142,2
W01001560,2
W01001383,2
W01001616,2
W01001051,2
W01001599,2
W01001429,2
W01000214,2
W01001479,2
W01000757,2
W01001481,2
W01000579,2
W01000623,2
W01001336,2
W01000838,2
W01001897,2
W01001773,2
W01000955,2
W01000755,2
W01001473,2
W01001658,2
W01001551,2
W01000887,2
W01000644,2
W01000712,2
W01001660,2
W01001646,2
W01001226,2
W01000758,2
W01001373,2
W01001690,2
W01001678,2
W01001607,2
W01001652,2
W01000823,2
W01000483,2
W01000638,2
W01001500,2
W01000825,2
W01001225,2
W01001534,2
W01001482,2
W01000486,2
W01001395,2
W01001533,2
W01000800,1
W01000980,1
W01001318,1
W01001704,1
W01000933,1
W01000247,1
W01000648,1
W01001571,1
W01000983,1
W01000814,1
W01001745,1
W01001306,1
W01001598,1
W01000631,1
W01000219,1
W01000554,1
W01001636,1
W01001902,1
W01001421,1
W01001693,1
W01001666,1
W01001671,1
W01001364,1
W01001507,1
W01001006,1
W01001038,1
W01000029,1
W01000140,1
W01000028,1
W01001921,1
W01001920,1
W01000975,1
W01000917,1
W01001657,1
W01000741,1
W01000910,1
W01001520,1
W01000395,1
W01000762,1
W01001385,1
W01001003,1
W01000991,1
W01001036,1
W01000136,1
W01001627,1
W01001878,1
W01001017,1
W01001358,1
W01001409,1
W01000038,1
W01000998,1
W01001441,1
W01000738,1
W01000218,1
W01001015,1
W01000849,1
W01001328,1
W01001914,1
W01000946,1
W01001029,1
W01001756,1
W01000730,1
W01000222,1
W01001416,1
W01001428,1
W01000667,1
W01001161,1
W01000995,1
W01000812,1
W01001486,1
W01001456,1
W01001589,1
W01001568,1
W01000984,1
W01000500,1
W01001055,1
W01001411,1
W01000873,1
W01000455,1
W01001661,1
W01000487,1
W01001582,1
W01000870,1
W01000805,1
W01000768,1
W01000806,1
W01000867,1
W01000872,1
W01001860,1
W01000749,1
W01000839,1
W01001809,1
W01001408,1
W01000879,1
W01001623,1
W01001691,1
W01000785,1
W01000745,1
W01001614,1
W01000869,1
W01000830,1
W01001958,1
W01000878,1
W01001548,1
W01000680,1
W01000793,1
W01000926,1
W01000947,1
W01001626,1
W01001367,1
W01001575,1
W01001634,1
W01000826,1
W01001356,1
W01001642,1
W01001417,1
W01001494,1
W01000856,1
W01000752,1
W01000465,1
W01001371,1
W01000710,1
W01001427,1
W01000852,1
W01001394,1
W01001527,1
W01001353,1
W01001573,1
W01001640,1
W01000675,1
W01001532,1
W01001663,1
W01001502,1
W01001624,1
W01001499,1
W01001779,1
W01000959,1
W01000457,1
W01001484,1
W01000836,1
W01000890,1
W01001628,1
W01000742,1
W01000599,1
W01000602,1
W01000417,1
W01000598,1
W01000603,1
W01000829,1
W01000809,1
W01001007,1
W01000811,1
W01000864,1
W01000704,1
W01000449,1
W01000180,1
W01001925,1
W01000788,1
W01001046,1
W01000208,1
W01000441,1
W01000210,1
W01000374,1
W01000981,1
W01001056,1
W01001033,1
W01001523,1
W01000986,1
W01000475,1
W01001619,1
W01000470,1
W01000553,1
W01001901,1
W01000843,1
W01000778,1
W01001608,1
W01001896,1
W01001781,1
W01000665,1
W01000666,1
W01001610,1
W01000284,1
W01000649,1
W01000721,1
W01000685,1
W01000624,1
W01000699,1
W01000474,1
W01000189,1
W01000647,1
W01001359,1
W01000662,1
W01000639,1
W01000006,1
W01000882,1
W01001050,1
W01000862,1
W01000759,1
W01000566,1
W01001559,1
