,Method_of_keepintouch
"By phone (texting, calling or video calling)",228
"By phone (texting, calling or video calling);On games consoles",159
"I live near them so I can see them (at a social distance);By phone (texting, calling or video calling)",98
"By phone (texting, calling or video calling);On social media;On games consoles",93
"I live near them so I can see them (at a social distance);By phone (texting, calling or video calling);On social media;On games consoles",77
"By phone (texting, calling or video calling);On social media",77
"I live near them so I can see them (at a social distance);By phone (texting, calling or video calling);On games consoles",73
"I live near them so I can see them (at a social distance);By phone (texting, calling or video calling);On social media",45
On games consoles,31
On social media,12
I live near them so I can see them (at a social distance),10
On social media;On games consoles,9
I live near them so I can see them (at a social distance);On games consoles,9
I live near them so I can see them (at a social distance);On social media,6
